RMA Number,Serial Number,Replacement S/N,Replacement P/N,Ship Date
T6000424,A04760R142200038A1,A04374R112800103A1,990-003127-50,12/07/18
T6000424,A04760R143200295A1,A04760R181500028B1,990-003645-50,12/07/18
T6000471,A03227R142200160,A03227R1012000KS C,990-001058-50,12/07/18
T6000484,A05156G163200044 F,A05156G170600008 F,990-004700-40,12/07/18
T6000495,A05010G163800184 F,A05010G173100611 K,990-004716-10,12/07/18
T6000499,A04984G161100014,A05337R173600489 B,990-005050-10,12/07/18
T6000513,A04763R173200603C1,A04763R181100302 C,990-003648-50,12/07/18
T6000519,A04763R161600112B1,A04763R181100452 C,990-003648-50,12/07/18
T6000519,A04764R172500259C1,A04764R173200179 C,990-003649-50,12/07/18
T6000519,A04764R172500260C1,A04764R173700146C1,990-003649-50,12/07/18
T6000519,A05010G170900363 G,A05010G173400222 K,990-004716-50,12/07/18
T6000519,A05010G171200147 G,A05010G173400215 K,990-004716-50,12/07/18
T6000526,A04736G171600037 L,A04736G162100030 L,990-004193-50,12/07/18
T6000527,A05010G163800046,A05010G173400170 K,990-004716-50,12/07/18
T6000538,A05010G161000002 C,A05010G173400090 K,990-004716-50,12/07/18
T6000540,A04760R142200267A1,A04760R181500026B1,990-003645-50,12/07/18
T6000540,A04435A150700011 G,A04435A141200038 F,990-003202-60,12/07/18
T6000545,A049844154600089 B,A05337R173600490 B,990-005050-10,12/07/18
T6000546,A04861R161100069,A04861R180300109A1,990-003450-80,12/07/18
T6000546,A04861R161100071,A04861R180300110A1,990-003450-80,12/07/18
T6000548,A05066G164500421,A05066G172900408 K,990-004215-80,12/07/18
T6000556,A04763R172900032C1,A05010G172100053 K,990-004716-50,12/07/18
T6000558,A04736G171600015 L,A04736G150700090 J,990-004193-50,12/07/18
T6000560,A04764R154900056B1,A05058G164800022 K,990-004717-40,12/07/18
